"MCAV-Dis"	"MCAV-Dis-AH"	"MCAV-AH"	"MCAV-N"	"OFAV-Dis"	"OFAV-Dis-AH"	"OFAV-AH"	"OFAV-N"	"CNAT-Dis"	"CNAT-Dis-AH"	"CNAT-AH"	"CNAT-N"	"OFRA-Dis"	"OFRA-Dis-AH"	"OFRA-AH"	"OFRA-N"	"Pathway"
"Cluster_1"	0.315221218	0.259289171	0.288804017	0.267218741	0.328222375	0.134428537	0.160635555	0.590635673	0.224365728	0.226759027	0.339688209	0.223195624	0.14022446	0.266132343	0.181921513	0.183607689	"TCA: TCA cycle I (prokaryotic)"
"Cluster_2"	0.25813402	0.337701096	0.233507504	0.327959568	0.068188466	0.233926223	0.271200882	0.235371171	0.10621584	0.178240864	0.249508748	0.187765764	0.25046659	0.260664986	0.250593486	0.252916161	"PWY-7980: ATP biosynthesis"
"Cluster_3"	0.307677717	0.083901577	0.281497137	0.230866805	0.287652762	0.287800648	0.254569732	0.283333023	0.149306645	0.227639602	0.165627826	0.160280715	0.166263656	0.266550197	0.289251016	0.191005126	"PWY-7226: guanosine deoxyribonucleotides de novo biosynthesis I"
"Cluster_4"	0.125616625333333	0.0153519043333333	0.110181202666667	0.063932221	0.0852114353333333	0.0770358113333333	0.138113153333333	0.109916884666667	0.0571213606666667	0.0475426856666667	0.117317521666667	0.112148082	0.122079153333333	0.092271035	0.0468745853333333	0.045542725	"PWY-3781: aerobic respiration I (cytochrome c), PWY-6891: thiazole component of thiamine diphosphate biosynthesis II, PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II"
"Cluster_5"	0.091635732	0.124960607	0.299516208	0.178850805	0.09440905	0.154830526	0.234815685	0.301341663	0.141518553	0.260190257	0.247049549	0.239105462	0.24799795	0.155029297	0.303356	0.306167715	"PWY-7221: guanosine ribonucleotides de novo biosynthesis"
"Cluster_6"	0.195419947	0.267269597	0.172760617	0.334811082	0.044372979	0.1952981	0.17249672	0.17465945	0.236875979	0.265058889	0.151469474	0.152214638	0.152050952	0.25929561	0.174691994	0.176311161	"AMMASSIM-PWY: ammonia assimilation cycle III"
"Cluster_7"	0.220896318	0.01778268	0.197437857	0.13271015	0.060954874	0.168659768	0.334455644	0.199322404	0.201426557	0.112660447	0.278656513	0.225466132	0.379726251	0.221617257	0.167959172	0.169515935	"PWY-5690: TCA cycle II (plants and fungi)"
"Cluster_8"	0.151373063	0.159251313	0.130095375	0.221614006	0.229919589	0.295163633	0.160897738	0.132018906	0.287796641	0.181238364	0.139948626	0.229913911	0.140485876	0.150186416	0.231449369	0.233594603	"PWY-6608: guanosine nucleotides degradation III"
"Cluster_9"	0.063717234	0.34771376	0.197621791	0.217697199	0.04090832	0.225233315	0.232923873	0.199506232	0.239777211	0.230259994	0.21148958	0.081223215	0.21230147	0.172092252	0.165822345	0.167359302	"PWY-7663: gondoate biosynthesis (anaerobic)"
"Cluster_10"	0.169435052	0.066455676	0.147590804	0.179135657	0.277326423	0.164568771	0.179559001	0.149504207	0.210880057	0.196811849	0.225845984	0.258538026	0.226712987	0.157446849	0.135308809	0.136562946	"PWY490-3: nitrate reduction VI (assimilatory)"
"Cluster_11"	0.200375791	0.18720774	0.177561008	0.085098476	0.045816108	0.162560684	0.211526312	0.179457062	0.175748474	0.10343667	0.223917057	0.185536204	0.224776655	0.1516826	0.152593327	0.154007668	"PWY-6599: guanine and guanosine salvage II"
"Cluster_12"	0.021371143	0.292976496	0.242756355	0.029984864	0.048739153	0.297653519	0.053794942	0.010091145	0.130372986	0.275038463	0.033567293	0.023217962	0.02950812	0.019692467	0.031234433	0.021417923	"PWY-101: photosynthesis light reactions"
"Cluster_13"	0.128043104	0.018916134	0.045115929	0.038856496	0.139800844	0.092034768	0.055166803	0.047094443	0.148053746	0.066864738	0.051837726	0.067297415	0.068903437	0.10195449	0.066432801	0.06695586	"PWY1ZNC-1: assimilatory sulfate reduction IV"
"Cluster_14"	0.046242523	0.03559191	0.004395152	0.10032575	0.059174433	0.1720012	0.043478258	0.031464713	0.016829057	0.151052631	0.023320104	0.025265179	0.032351658	0.021693349	0.017306368	0.030560462	"SO4ASSIM-PWY: assimilatory sulfate reduction I"
"Cluster_15"	0.09848639	0.04503034	0.007597524	0.0261208	0.091692114	0.07944551	0.055525609	0.019577255	0.082494266	0.061292956	0.018513213	0.012470472	0.004641257	0.04791579	0.000418849	0.014828975	"PWY-7111: pyruvate fermentation to isobutanol (engineered)"
"Cluster_16"	0.024556715	0.043946474	0.034713453	0.044977295	0.058108729	0.041480278	0.070692412	0.015136717	0.045559479	0.016957694	0.050350939	0.034826943	0.04426218	0.031038701	0.04685165	0.032126885	"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I"
"Cluster_17"	0.0382376	0.013367964	0.016307841	0.017624154	0.062451237	0.146789167	0.035154891	0.020804601	0.016184785	0.126174976	0.015052805	0.028232126	0.029401253	0.024593145	0.016643823	0.017785298	"PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)"
"Cluster_18"	0.0298221528333333	0.0207985298333333	0.0187000745	0.0234683181666667	0.0533950175	0.0208783146666667	0.0429912486666667	0.009281103	0.011440537	0.00355690716666667	0.0228363753333333	0.00771069116666667	0.023108926	0.00485130016666667	0.0117650165	0.0614307648333333	"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation, PWY-5329: L-cysteine degradation III, PWY0-1561: glycerol-3-phosphate to cytochrome bo oxidase electron transfer, PWY0-1329: succinate to cytochrome bo oxidase electron transfer, PWY-8159: dipyrromethane cofactor biosynthesis, PWY-8136: NADPH repair (prokaryotes)"
