"HOG_ID"	"Pathway"	"Correlation"	"p_value"	"p_adj"
"1"	"OG_Cluster_9"	"Pathway_Cluster_12"	-1	0	0
"2"	"OG_Cluster_12"	"Pathway_Cluster_3"	-1	0	0
"3"	"OG_Cluster_21"	"Pathway_Cluster_11"	-1	0	0
"4"	"OG_Cluster_1"	"Pathway_Cluster_17"	-1	0.2	0.631578947368421
"5"	"OG_Cluster_6"	"Pathway_Cluster_1"	-1	0.2	0.631578947368421
"6"	"OG_Cluster_8"	"Pathway_Cluster_9"	-1	0.2	0.631578947368421
"7"	"OG_Cluster_9"	"Pathway_Cluster_9"	1	0.2	0.631578947368421
"8"	"OG_Cluster_16"	"Pathway_Cluster_7"	-1	0.2	0.631578947368421
"9"	"OG_Cluster_17"	"Pathway_Cluster_13"	-1	0.2	0.631578947368421
"10"	"OG_Cluster_22"	"Pathway_Cluster_15"	1	0.2	0.631578947368421
"11"	"OG_Cluster_23"	"Pathway_Cluster_14"	1	0.2	0.631578947368421
"12"	"OG_Cluster_24"	"Pathway_Cluster_6"	-1	0.225403330758516	0.659717065634682
"13"	"OG_Cluster_16"	"Pathway_Cluster_16"	1	0.4	0.813559322033898
"14"	"OG_Cluster_21"	"Pathway_Cluster_4"	1	0.4	0.813559322033898
"15"	"OG_Cluster_13"	"Pathway_Cluster_17"	1	0.6	0.813559322033898
"16"	"OG_Cluster_15"	"Pathway_Cluster_4"	-1	0.6	0.813559322033898
"17"	"OG_Cluster_18"	"Pathway_Cluster_8"	-1	0.6	0.813559322033898
"18"	"OG_Cluster_23"	"Pathway_Cluster_2"	-1	0.6	0.813559322033898
"19"	"OG_Cluster_3"	"Pathway_Cluster_6"	1	0.6	0.813559322033898
"20"	"OG_Cluster_5"	"Pathway_Cluster_1"	1	0.6	0.813559322033898
"21"	"OG_Cluster_7"	"Pathway_Cluster_19"	1	0.6	0.813559322033898
"22"	"OG_Cluster_8"	"Pathway_Cluster_12"	1	0.6	0.813559322033898
"23"	"OG_Cluster_10"	"Pathway_Cluster_7"	1	0.6	0.813559322033898
"24"	"OG_Cluster_14"	"Pathway_Cluster_14"	-1	0.6	0.813559322033898
"25"	"OG_Cluster_20"	"Pathway_Cluster_19"	-1	0.6	0.813559322033898
"26"	"OG_Cluster_24"	"Pathway_Cluster_18"	1	0.741801110252839	0.868778280542986
"27"	"OG_Cluster_2"	"Pathway_Cluster_13"	1	0.8	0.868778280542986
"28"	"OG_Cluster_4"	"Pathway_Cluster_8"	1	0.8	0.868778280542986
"29"	"OG_Cluster_7"	"Pathway_Cluster_10"	-1	0.8	0.868778280542986
"30"	"OG_Cluster_10"	"Pathway_Cluster_16"	-1	0.8	0.868778280542986
"31"	"OG_Cluster_11"	"Pathway_Cluster_15"	-1	0.8	0.868778280542986
"32"	"OG_Cluster_14"	"Pathway_Cluster_2"	1	0.8	0.868778280542986
"33"	"OG_Cluster_19"	"Pathway_Cluster_3"	1	0.8	0.868778280542986
"34"	"OG_Cluster_20"	"Pathway_Cluster_10"	1	0.8	0.868778280542986
"35"	"OG_Cluster_2"	"Pathway_Cluster_5"	-1	1	1
"36"	"OG_Cluster_3"	"Pathway_Cluster_18"	-1	1	1
"37"	"OG_Cluster_15"	"Pathway_Cluster_11"	1	1	1
"38"	"OG_Cluster_17"	"Pathway_Cluster_5"	1	1	1
"39"	"OG_Cluster_1"	"Pathway_Cluster_6"	0.8	0	0
"40"	"OG_Cluster_4"	"Pathway_Cluster_7"	-0.8	0	0
"41"	"OG_Cluster_5"	"Pathway_Cluster_7"	-0.8	0	0
"42"	"OG_Cluster_5"	"Pathway_Cluster_13"	0.8	0	0
"43"	"OG_Cluster_6"	"Pathway_Cluster_13"	-0.8	0	0
"44"	"OG_Cluster_13"	"Pathway_Cluster_15"	0.8	0	0
"45"	"OG_Cluster_17"	"Pathway_Cluster_15"	0.8	0	0
"46"	"OG_Cluster_18"	"Pathway_Cluster_7"	0.8	0	0
"47"	"OG_Cluster_22"	"Pathway_Cluster_19"	-0.8	0	0
"48"	"OG_Cluster_1"	"Pathway_Cluster_8"	0.8	0.2	0.631578947368421
"49"	"OG_Cluster_3"	"Pathway_Cluster_10"	-0.8	0.2	0.631578947368421
"50"	"OG_Cluster_3"	"Pathway_Cluster_17"	-0.8	0.2	0.631578947368421
"51"	"OG_Cluster_4"	"Pathway_Cluster_16"	0.8	0.2	0.631578947368421
"52"	"OG_Cluster_6"	"Pathway_Cluster_7"	0.8	0.2	0.631578947368421
