Pathway,MCAV-Dis,MCAV-Dis-AH,MCAV-AH,MCAV-N,OFAV-Dis,OFAV-Dis-AH,OFAV-AH,OFAV-N,CNAT-Dis,CNAT-Dis-AH,CNAT-AH,CNAT-N,OFRA-Dis,OFRA-Dis-AH,OFRA-AH,OFRA-N
Unassigned,82.74831989,89.77165848,91.09843524,89.9156856,76.32786413,85.73511515,80.82837251,89.79963091,90.17313386,94.27556572,89.86169312,90.1859141,89.83943365,91.53485112,90.16471163,90.74941542
TCA: TCA cycle I (prokaryotic),0.315221218,0.259289171,0.288804017,0.267218741,0.328222375,0.134428537,0.160635555,0.590635673,0.224365728,0.226759027,0.339688209,0.223195624,0.14022446,0.266132343,0.181921513,0.183607689
PWY-7980: ATP biosynthesis,0.25813402,0.337701096,0.233507504,0.327959568,0.068188466,0.233926223,0.271200882,0.235371171,0.10621584,0.178240864,0.249508748,0.187765764,0.25046659,0.260664986,0.250593486,0.252916161
PWY-7226: guanosine deoxyribonucleotides de novo biosynthesis I,0.307677717,0.083901577,0.281497137,0.230866805,0.287652762,0.287800648,0.254569732,0.283333023,0.149306645,0.227639602,0.165627826,0.160280715,0.166263656,0.266550197,0.289251016,0.191005126
PWY-3781: aerobic respiration I (cytochrome c),0.308593502,0.041888219,0.282384196,0.166352043,0.178107637,0.192465368,0.323334542,0.284219568,0.151758541,0.141378611,0.301291225,0.29085458,0.302447856,0.238255275,0.120462158,0.121578685
PWY-7221: guanosine ribonucleotides de novo biosynthesis,0.091635732,0.124960607,0.299516208,0.178850805,0.09440905,0.154830526,0.234815685,0.301341663,0.141518553,0.260190257,0.247049549,0.239105462,0.24799795,0.155029297,0.303356,0.306167715
AMMASSIM-PWY: ammonia assimilation cycle III,0.195419947,0.267269597,0.172760617,0.334811082,0.044372979,0.1952981,0.17249672,0.17465945,0.236875979,0.265058889,0.151469474,0.152214638,0.152050952,0.25929561,0.174691994,0.176311161
PWY-5690: TCA cycle II (plants and fungi),0.220896318,0.01778268,0.197437857,0.13271015,0.060954874,0.168659768,0.334455644,0.199322404,0.201426557,0.112660447,0.278656513,0.225466132,0.379726251,0.221617257,0.167959172,0.169515935
PWY-6608: guanosine nucleotides degradation III,0.151373063,0.159251313,0.130095375,0.221614006,0.229919589,0.295163633,0.160897738,0.132018906,0.287796641,0.181238364,0.139948626,0.229913911,0.140485876,0.150186416,0.231449369,0.233594603
PWY-7663: gondoate biosynthesis (anaerobic),0.063717234,0.34771376,0.197621791,0.217697199,0.04090832,0.225233315,0.232923873,0.199506232,0.239777211,0.230259994,0.21148958,0.081223215,0.21230147,0.172092252,0.165822345,0.167359302
PWY490-3: nitrate reduction VI (assimilatory),0.169435052,0.066455676,0.147590804,0.179135657,0.277326423,0.164568771,0.179559001,0.149504207,0.210880057,0.196811849,0.225845984,0.258538026,0.226712987,0.157446849,0.135308809,0.136562946
PWY-6599: guanine and guanosine salvage II,0.200375791,0.18720774,0.177561008,0.085098476,0.045816108,0.162560684,0.211526312,0.179457062,0.175748474,0.10343667,0.223917057,0.185536204,0.224776655,0.1516826,0.152593327,0.154007668
PWY-101: photosynthesis light reactions,0.021371143,0.292976496,0.242756355,0.029984864,0.048739153,0.297653519,0.053794942,0.010091145,0.130372986,0.275038463,0.033567293,0.023217962,0.02950812,0.019692467,0.031234433,0.021417923
